date,Sleep Score
2024-06-09,75
2024-06-10,63
2024-06-15,80
2024-06-16,85
2024-06-17,40
2024-06-18,22
2024-06-24,72
2024-06-25,65
2024-07-05,59
2024-07-11,68
2024-07-12,74
2024-07-18,57
2024-07-19,86
2024-07-20,62
2024-07-27,67
2024-07-28,81
2024-07-29,86
2024-07-30,89
2024-07-31,52
2024-08-02,86
2024-08-03,69
2024-08-04,78
2024-08-05,67
2024-08-06,65
2024-08-07,80
2024-08-08,62
2024-08-09,79
2024-08-12,74
2024-08-16,75
2024-08-17,78
2024-08-18,64
2024-08-19,55
2024-08-21,66
2024-08-22,65
2024-08-23,58
2024-08-24,77
2024-08-28,86
2024-08-29,67
2024-08-30,80
2024-08-31,78
2024-09-01,60
2024-09-03,79
2024-09-04,81
2024-09-05,74
2024-09-06,86
2024-09-09,75
2024-09-13,75
2024-09-14,76
2024-09-15,58
2024-09-19,86
2024-09-22,71
2024-09-23,44
2024-09-26,77
2024-09-27,79
2024-10-01,50
2024-10-02,39
2024-10-03,71
2024-10-05,75
2024-10-09,82
2024-10-10,69
2024-10-11,76
2024-10-12,41
2024-10-13,52
2024-10-19,70
2024-10-20,65
2024-10-21,79
2024-10-22,61
2024-10-23,65
2024-10-24,66
2024-10-25,58
2024-10-27,69
2024-10-28,75
2024-10-30,71
2024-10-31,78
2024-11-01,74
2024-11-02,66
2024-11-03,52
2024-11-04,82
2024-11-07,65
2024-11-08,40
2024-11-10,78
2024-11-11,76
2024-11-12,69
2024-11-13,53
2024-11-14,68
2024-11-15,89
2024-11-18,63
2024-11-19,75
2024-11-22,68
2024-11-23,70
2024-11-25,63
2024-12-04,83
2024-12-05,68
2024-12-07,68
2024-12-11,66
2024-12-12,70
2024-12-14,65
2024-12-17,81
2024-12-18,68
2024-12-20,57
2024-12-27,82
2024-12-28,67
2024-12-31,80
2025-01-07,59
2025-01-11,74
2025-01-12,68
2025-01-13,65
2025-01-15,73
2025-01-17,64
2025-01-22,79
2025-01-24,81
2025-01-26,65
2025-01-29,69
2025-02-02,84
2025-02-05,58
2025-02-06,53
2025-02-10,62
2025-02-11,56
2025-02-12,86
2025-02-13,68
2025-02-14,74
2025-02-15,39
2025-02-17,79
2025-02-19,71
2025-02-24,77
2025-02-26,67
2025-02-27,59
2025-02-28,87
2025-03-01,77
2025-03-02,65
2025-03-04,73
2025-03-05,76
2025-03-06,55
2025-03-08,31
2025-03-10,90
2025-03-11,71
2025-03-12,83
2025-03-13,76
2025-03-14,61
2025-03-19,55
2025-03-20,75
2025-03-23,76
2025-03-24,86
2025-03-25,76
2025-03-26,65
2025-03-27,67
2025-03-28,74
2025-03-29,64
2025-03-30,53
2025-03-31,44
2025-04-01,58
2025-04-03,66
2025-04-04,56
2025-04-05,81
2025-04-07,71
2025-04-08,65
2025-04-15,73
2025-04-16,88
2025-04-19,69
2025-04-22,59
2025-04-26,70
2025-04-30,38
2025-05-03,61
2025-05-04,67
2025-05-06,80
2025-05-07,66
2025-05-08,86
2025-05-09,71
2025-05-10,61
2025-05-11,70
2025-05-12,74
2025-05-13,63
2025-05-17,75
